district,year,month,season,crime_count
20,2018,12,1,22
22,2018,12,1,25
24,2018,12,1,25
25,2018,12,1,59
1,2019,1,1,58
2,2019,1,1,47
3,2019,1,1,56
4,2019,1,1,49
5,2019,1,1,35
6,2019,1,1,61
7,2019,1,1,37
8,2019,1,1,43
9,2019,1,1,41
10,2019,1,1,47
11,2019,1,1,71
12,2019,1,1,32
14,2019,1,1,35
15,2019,1,1,28
16,2019,1,1,31
17,2019,1,1,27
18,2019,1,1,60
19,2019,1,1,42
20,2019,1,1,11
22,2019,1,1,24
24,2019,1,1,29
25,2019,1,1,47
1,2019,2,1,54
2,2019,2,1,41
3,2019,2,1,42
4,2019,2,1,48
5,2019,2,1,43
6,2019,2,1,66
7,2019,2,1,48
8,2019,2,1,67
9,2019,2,1,36
10,2019,2,1,48
11,2019,2,1,51
12,2019,2,1,37
14,2019,2,1,11
15,2019,2,1,32
16,2019,2,1,35
17,2019,2,1,30
18,2019,2,1,69
19,2019,2,1,43
20,2019,2,1,15
22,2019,2,1,28
24,2019,2,1,33
25,2019,2,1,57
1,2019,3,2,63
2,2019,3,2,50
3,2019,3,2,45
4,2019,3,2,52
5,2019,3,2,35
6,2019,3,2,59
7,2019,3,2,38
8,2019,3,2,62
9,2019,3,2,50
10,2019,3,2,51
11,2019,3,2,82
12,2019,3,2,55
14,2019,3,2,40
15,2019,3,2,46
16,2019,3,2,31
17,2019,3,2,29
18,2019,3,2,51
19,2019,3,2,37
20,2019,3,2,14
22,2019,3,2,26
24,2019,3,2,32
25,2019,3,2,54
1,2019,4,2,56
2,2019,4,2,43
3,2019,4,2,51
4,2019,4,2,60
5,2019,4,2,48
6,2019,4,2,54
7,2019,4,2,57
8,2019,4,2,68
9,2019,4,2,37
10,2019,4,2,51
11,2019,4,2,99
12,2019,4,2,47
14,2019,4,2,32
15,2019,4,2,47
16,2019,4,2,27
17,2019,4,2,36
18,2019,4,2,67
19,2019,4,2,33
20,2019,4,2,17
22,2019,4,2,28
24,2019,4,2,28
25,2019,4,2,54
1,2019,5,2,69
2,2019,5,2,39
3,2019,5,2,70
4,2019,5,2,85
5,2019,5,2,63
6,2019,5,2,78
7,2019,5,2,77
8,2019,5,2,70
9,2019,5,2,40
10,2019,5,2,49
11,2019,5,2,90
12,2019,5,2,46
14,2019,5,2,37
15,2019,5,2,34
16,2019,5,2,39
17,2019,5,2,21
18,2019,5,2,56
19,2019,5,2,49
20,2019,5,2,18
22,2019,5,2,45
24,2019,5,2,35
25,2019,5,2,70
1,2019,6,3,70
2,2019,6,3,45
3,2019,6,3,58
4,2019,6,3,51
5,2019,6,3,58
6,2019,6,3,80
7,2019,6,3,49
8,2019,6,3,73
9,2019,6,3,39
10,2019,6,3,47
11,2019,6,3,87
12,2019,6,3,58
14,2019,6,3,51
15,2019,6,3,52
16,2019,6,3,44
17,2019,6,3,25
18,2019,6,3,50
19,2019,6,3,51
20,2019,6,3,18
22,2019,6,3,43
24,2019,6,3,36
25,2019,6,3,52
1,2019,7,3,71
2,2019,7,3,56
3,2019,7,3,49
4,2019,7,3,70
5,2019,7,3,66
6,2019,7,3,90
7,2019,7,3,66
8,2019,7,3,70
9,2019,7,3,52
10,2019,7,3,59
11,2019,7,3,92
12,2019,7,3,55
14,2019,7,3,50
15,2019,7,3,47
16,2019,7,3,47
17,2019,7,3,38
18,2019,7,3,65
19,2019,7,3,57
20,2019,7,3,24
22,2019,7,3,36
24,2019,7,3,39
25,2019,7,3,47
1,2019,8,3,77
2,2019,8,3,42
3,2019,8,3,54
4,2019,8,3,60
5,2019,8,3,52
6,2019,8,3,80
7,2019,8,3,76
8,2019,8,3,63
9,2019,8,3,40
10,2019,8,3,60
11,2019,8,3,109
